Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
KEN,1/1/1991,12/31/1991,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,26.22,Fc
KEN,1/1/1992,12/31/1992,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,26.65,Fc
KEN,1/1/1993,12/31/1993,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,20.2,Fc
KEN,1/1/1994,12/31/1994,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,24.36,Fc
KEN,1/1/1995,12/31/1995,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,33.26,Fc
KEN,1/1/1996,12/31/1996,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,30.92,Fc
KEN,1/1/1997,12/31/1997,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,34.99,Fc
KEN,1/1/1998,12/31/1998,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,34.85,Fc
KEN,1/1/1999,12/31/1999,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,30.91,Fc
KEN,1/1/2000,12/31/2000,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,30.81,Fc
KEN,1/1/2001,12/31/2001,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,27.46,Fc
KEN,1/1/2002,12/31/2002,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,26.74,Fc
KEN,1/1/2003,12/31/2003,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,29.54,Fc
KEN,1/1/2004,12/31/2004,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,30.29,Fc
KEN,1/1/2005,12/31/2005,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,32.07,Fc
KEN,1/1/2006,12/31/2006,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,36.22,Fc
KEN,1/1/2007,12/31/2007,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,42.79,Fc
KEN,1/1/2008,12/31/2008,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,54.54,Fc
KEN,1/1/2009,12/31/2009,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,60.59,Fc
KEN,1/1/2010,12/31/2010,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,63.22,Fc
KEN,1/1/2011,12/31/2011,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,68.64,Fc
KEN,1/1/2012,12/31/2012,114,Kenya,711,"Anise, badian, fennel, coriander",5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,79.62,Fc
